,maxRevenues,timeTree,dropped
0,11569.0,5.72567973465755,shippingcosts
1,11619.0,5.545486373560769,model_Vec
2,11639.0,5.417897171444363,salutation_Vec
3,11645.0,4.91692068026616,entry
4,11645.0,5.533100318908692,case
5,11645.0,5.090916603803635,numberitems
6,11645.0,5.254853860191677,gift
7,11645.0,5.678821823813698,w0
8,11645.0,5.789351633616856,w2
9,11645.0,5.257215034961701,w3
10,11645.0,4.891050476776926,w4
11,11645.0,5.070629318555196,w6
12,11645.0,5.035216752220602,w8
13,11645.0,5.5182827562093735,w9
14,11645.0,5.193957948684693,nobooks
15,11644.5,4.472691178321838,books
16,11667.5,4.720348945030799,w7
17,11653.0,4.934678713480632,w5
18,11635.0,4.8891520933671435,w10
19,11602.5,4.990027666091919,cancel
20,11588.5,4.539865202373928,voucher
21,11571.0,4.251065701246262,accountdur
22,11510.5,4.3613124915531705,used
23,11320.5,4.709713339805603,itemseff
24,11094.0,4.408327054977417,weight
25,10747.5,4.76166445016861,w1
26,10785.5,4.6865012645721436,paymenttype_Vec
27,9938.5,4.4531010389328,remi
28,9938.5,3.9735848903656006,newsletter
~                                     
0,11444.5,5.89111878954131,numberitems
1,11507.0,5.835484913417271,nobooks
2,11643.0,6.235958964736374,w8
3,11545.0,6.301532461093022,entry
4,11447.0,5.517215471267701,w3
5,11613.5,5.215253442525864,itemseff
6,11593.0,5.393004168634829,w0
7,11676.5,5.702377720312639,books
8,11409.5,5.933412801651728,w4
9,11420.0,5.713713359832764,model_Vec
10,11683.5,5.7161585406253215,w2
11,11602.5,5.576921555731031,gift
12,11554.5,5.723402387955609,accountdur
13,11485.0,5.957914426922798,cancel
14,11641.0,5.682523632049561,w7
15,11561.5,5.562200137547085,w5
16,11550.5,5.4586252982799826,w6
17,11624.5,5.749679346879323,w10
18,11598.5,6.286012909629128,w9
19,11570.5,5.9661791801452635,salutation_Vec
20,11709.5,6.050007343292236,shippingcosts
21,11558.0,5.336005061864853,case
22,11636.0,5.626755850655692,voucher
23,11516.0,5.480248212814331,used
24,11208.0,5.089012289047242,weight
25,10782.5,5.53101521730423,paymenttype_Vec
26,10786.0,6.032264709472656,w1
27,9938.5,4.9020326137542725,remi
28,9938.5,4.456085920333862,newsletter
